	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa	Total
OG0000000	7	7	3	156	16	28	0	1	0	218
OG0000001	16	13	3	88	14	5	3	6	4	152
OG0000002	13	13	1	65	25	16	0	0	1	134
OG0000003	16	14	5	42	3	4	1	2	2	89
OG0000004	3	3	8	16	10	8	2	4	33	87
OG0000005	7	7	0	46	14	5	0	2	5	86
OG0000006	10	11	4	45	5	3	0	3	1	82
OG0000007	7	7	3	40	8	6	1	5	1	78
OG0000008	13	12	1	28	9	4	0	3	6	76
OG0000009	0	46	5	22	1	1	0	0	1	76
OG0000010	5	5	1	41	4	1	1	1	16	75
OG0000011	7	6	1	46	9	2	0	1	0	72
OG0000012	8	8	5	18	9	5	3	4	9	69
OG0000013	12	12	6	20	5	4	2	4	4	69
OG0000014	8	8	1	28	10	4	2	6	1	68
OG0000015	11	11	7	21	5	1	4	3	5	68
OG0000016	10	10	2	15	12	7	2	5	4	67
OG0000017	1	1	13	41	2	4	0	4	1	67
OG0000018	8	8	7	16	9	5	2	6	4	65
OG0000019	0	26	0	34	0	1	0	2	1	64
OG0000020	6	7	3	30	10	0	1	2	3	62
OG0000021	1	0	0	28	10	21	0	0	0	60
OG0000022	8	8	0	30	3	5	1	1	1	57
OG0000023	7	7	8	20	7	4	0	2	2	57
OG0000024	6	6	2	17	11	6	0	3	4	55
OG0000025	1	1	0	41	2	5	2	1	1	54
OG0000026	5	5	2	19	3	2	2	1	14	53
OG0000027	4	4	1	16	7	4	0	6	10	52
OG0000028	6	5	0	35	5	1	0	0	0	52
OG0000029	9	8	2	7	10	2	0	1	12	51
OG0000030	3	3	10	19	9	3	0	1	2	50
OG0000031	5	3	0	26	12	4	0	0	0	50
OG0000032	2	2	1	26	6	3	1	2	7	50
OG0000033	1	1	2	41	1	2	0	1	1	50
OG0000034	1	1	1	35	2	4	2	2	1	49
OG0000035	4	4	2	26	3	1	2	3	3	48
OG0000036	6	6	0	14	6	7	3	0	5	47
OG0000037	7	8	2	16	7	5	0	2	0	47
OG0000038	5	4	1	11	14	11	0	0	0	46
OG0000039	7	7	8	14	2	3	1	3	1	46
OG0000040	6	6	7	21	2	1	1	0	1	45
OG0000041	7	6	0	16	10	3	0	1	0	43
OG0000042	0	0	1	36	1	3	0	0	1	42
OG0000043	6	6	4	4	3	2	2	5	9	41
OG0000044	1	1	7	19	1	1	0	11	0	41
OG0000045	2	2	1	25	2	3	2	1	2	40
OG0000046	2	2	3	23	1	0	4	4	0	39
OG0000047	4	4	2	10	2	3	1	3	10	39
OG0000048	1	1	0	15	4	3	7	1	7	39
OG0000049	0	0	0	23	0	0	0	16	0	39
