	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa
Number of genes	9926	9841	7826	27347	12989	10815	5167	6783	6584
Number of genes in orthogroups	9673	9702	6001	19230	9189	8657	4420	5346	5199
Number of unassigned genes	253	139	1825	8117	3800	2158	747	1437	1385
Percentage of genes in orthogroups	97.5	98.6	76.7	70.3	70.7	80.0	85.5	78.8	79.0
Percentage of unassigned genes	2.5	1.4	23.3	29.7	29.3	20.0	14.5	21.2	21.0
Number of orthogroups containing species	8159	8174	4723	7905	7297	6863	3826	4767	4364
Percentage of orthogroups containing species	79.0	79.2	45.7	76.5	70.7	66.5	37.0	46.2	42.3
Number of species-specific orthogroups	0	3	24	28	12	12	4	11	13
Number of genes in species-specific orthogroups	0	8	83	184	59	32	19	28	61
Percentage of genes in species-specific orthogroups	0.0	0.1	1.1	0.7	0.5	0.3	0.4	0.4	0.9


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	2168	2153	5604	2422	3030	3464	6501	5560	5963
'1	7299	7333	3929	4470	6347	5601	3390	4381	3968
'2	570	551	572	1496	611	949	348	286	273
'3	150	152	124	665	162	211	59	60	55
'4	59	67	40	389	74	64	17	20	21
'5	32	23	23	229	30	22	2	9	12
'6	17	17	13	164	21	5	4	4	8
'7	13	12	10	105	10	5	2	3	8
'8	5	7	5	85	9	1	1	2	2
'9	6	2	2	62	9	0	0	0	4
'10	2	1	1	45	8	1	2	0	3
11-15	4	7	2	109	10	1	1	1	3
16-20	2	0	2	41	2	1	0	1	5
21-50	0	2	0	42	4	2	0	0	2
51-100	0	0	0	2	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0
151-200	0	0	0	1	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0

