	AfumigatusA1163.aa	AfumigatusAf293.aa	CneoformansH99.aa	Foxysporum4287.aa	Moryzae70-15.aa	NcrassaOR74A.aa	Spombe972h.aa	Umaydis521.aa	YlipolyticaCLIB122.aa
OG0010327	AFUB_001910-T-p1								
OG0010328	AFUB_002860-T-p1								
OG0010329	AFUB_003080-T-p1								
OG0010330	AFUB_003180-T-p1								
OG0010331	AFUB_003750-T-p1								
OG0010332	AFUB_004260-T-p1								
OG0010333	AFUB_004300-T-p1								
OG0010334	AFUB_007480-T-p1								
OG0010335	AFUB_011190-T-p1								
OG0010336	AFUB_011890-T-p1								
OG0010337	AFUB_014440-T-p1								
OG0010338	AFUB_014500-T-p1								
OG0010339	AFUB_015860-T-p1								
OG0010340	AFUB_016910-T-p1								
OG0010341	AFUB_019890-T-p1								
OG0010342	AFUB_022190-T-p1								
OG0010343	AFUB_023040-T-p1								
OG0010344	AFUB_023430-T-p1								
OG0010345	AFUB_023450-T-p1								
OG0010346	AFUB_024000-T-p1								
OG0010347	AFUB_024470-T-p1								
OG0010348	AFUB_024870-T-p1								
OG0010349	AFUB_024910-T-p1								
OG0010350	AFUB_024940-T-p1								
OG0010351	AFUB_025860-T-p1								
OG0010352	AFUB_026810-T-p1								
OG0010353	AFUB_027150-T-p1								
OG0010354	AFUB_027700-T-p1								
OG0010355	AFUB_029680-T-p1								
OG0010356	AFUB_030120-T-p1								
OG0010357	AFUB_030300-T-p1								
OG0010358	AFUB_032970-T-p1								
OG0010359	AFUB_033010-T-p1								
OG0010360	AFUB_033020-T-p1								
OG0010361	AFUB_033260-T-p1								
OG0010362	AFUB_033280-T-p1								
OG0010363	AFUB_034040-T-p1								
OG0010364	AFUB_034160-T-p1								
OG0010365	AFUB_034290-T-p1								
OG0010366	AFUB_034310-T-p1								
OG0010367	AFUB_036550-T-p1								
OG0010368	AFUB_036880-T-p1								
OG0010369	AFUB_037180-T-p1								
OG0010370	AFUB_038140-T-p1								
OG0010371	AFUB_039940-T-p1								
OG0010372	AFUB_040530-T-p1								
OG0010373	AFUB_041330-T-p1								
OG0010374	AFUB_041530-T-p1								
OG0010375	AFUB_044110-T-p1								
OG0010376	AFUB_044230-T-p1								
OG0010377	AFUB_044240-T-p1								
OG0010378	AFUB_044250-T-p1								
OG0010379	AFUB_044260-T-p1								
OG0010380	AFUB_044310-T-p1								
OG0010381	AFUB_044340-T-p1								
OG0010382	AFUB_044360-T-p1								
OG0010383	AFUB_044380-T-p1								
OG0010384	AFUB_044410-T-p1								
OG0010385	AFUB_044420-T-p1								
OG0010386	AFUB_044520-T-p1								
OG0010387	AFUB_044540-T-p1								
OG0010388	AFUB_044740-T-p1								
OG0010389	AFUB_045190-T-p1								
OG0010390	AFUB_045230-T-p1								
OG0010391	AFUB_045430-T-p1								
OG0010392	AFUB_045490-T-p1								
OG0010393	AFUB_045650-T-p1								
OG0010394	AFUB_045720-T-p1								
OG0010395	AFUB_045740-T-p1								
OG0010396	AFUB_045870-T-p1								
OG0010397	AFUB_045910-T-p1								
OG0010398	AFUB_045920-T-p1								
OG0010399	AFUB_045970-T-p1								
OG0010400	AFUB_046500-T-p1								
OG0010401	AFUB_046790-T-p1								
OG0010402	AFUB_048280-T-p1								
OG0010403	AFUB_048410-T-p1								
OG0010404	AFUB_048460-T-p1								
OG0010405	AFUB_048470-T-p1								
OG0010406	AFUB_048520-T-p1								
OG0010407	AFUB_048530-T-p1								
OG0010408	AFUB_048540-T-p1								
OG0010409	AFUB_048550-T-p1								
OG0010410	AFUB_048940-T-p1								
OG0010411	AFUB_049830-T-p1								
OG0010412	AFUB_049910-T-p1								
OG0010413	AFUB_049920-T-p1								
OG0010414	AFUB_050590-T-p1								
OG0010415	AFUB_054010-T-p1								
OG0010416	AFUB_054210-T-p1								
OG0010417	AFUB_055770-T-p1								
OG0010418	AFUB_056670-T-p1								
OG0010419	AFUB_057000-T-p1								
OG0010420	AFUB_057450-T-p1								
OG0010421	AFUB_057930-T-p1								
OG0010422	AFUB_058000-T-p1								
OG0010423	AFUB_060380-T-p1								
OG0010424	AFUB_061130-T-p1								
OG0010425	AFUB_061400-T-p1								
OG0010426	AFUB_061450-T-p1								
OG0010427	AFUB_061760-T-p1								
OG0010428	AFUB_061930-T-p1								
OG0010429	AFUB_062120-T-p1								
OG0010430	AFUB_062160-T-p1								
OG0010431	AFUB_062600-T-p1								
OG0010432	AFUB_063790-T-p1								
OG0010433	AFUB_064940-T-p1								
OG0010434	AFUB_065260-T-p1								
OG0010435	AFUB_065320-T-p1								
OG0010436	AFUB_066510-T-p1								
OG0010437	AFUB_067220-T-p1								
OG0010438	AFUB_067680-T-p1								
OG0010439	AFUB_068040-T-p1								
OG0010440	AFUB_068570-T-p1								
OG0010441	AFUB_069110-T-p1								
OG0010442	AFUB_069160-T-p1								
OG0010443	AFUB_069260-T-p1								
OG0010444	AFUB_069510-T-p1								
OG0010445	AFUB_069600-T-p1								
OG0010446	AFUB_070290-T-p1								
OG0010447	AFUB_070340-T-p1								
OG0010448	AFUB_070670-T-p1								
OG0010449	AFUB_070980-T-p1								
OG0010450	AFUB_071000-T-p1								
OG0010451	AFUB_071050-T-p1								
OG0010452	AFUB_071080-T-p1								
OG0010453	AFUB_071090-T-p1								
OG0010454	AFUB_071100-T-p1								
OG0010455	AFUB_071110-T-p1								
OG0010456	AFUB_071130-T-p1								
OG0010457	AFUB_071160-T-p1								
OG0010458	AFUB_071210-T-p1								
OG0010459	AFUB_071580-T-p1								
OG0010460	AFUB_071630-T-p1								
OG0010461	AFUB_071640-T-p1								
OG0010462	AFUB_071970-T-p1								
OG0010463	AFUB_073180-T-p1								
OG0010464	AFUB_073250-T-p1								
OG0010465	AFUB_073400-T-p1								
OG0010466	AFUB_073820-T-p1								
OG0010467	AFUB_075280-T-p1								
OG0010468	AFUB_075390-T-p1								
OG0010469	AFUB_075410-T-p1								
OG0010470	AFUB_075430-T-p1								
OG0010471	AFUB_075450-T-p1								
OG0010472	AFUB_075470-T-p1								
OG0010473	AFUB_075480-T-p1								
OG0010474	AFUB_075490-T-p1								
OG0010475	AFUB_075510-T-p1								
OG0010476	AFUB_075560-T-p1								
OG0010477	AFUB_075890-T-p1								
OG0010478	AFUB_076940-T-p1								
OG0010479	AFUB_076960-T-p1								
OG0010480	AFUB_077100-T-p1								
OG0010481	AFUB_077570-T-p1								
OG0010482	AFUB_077680-T-p1								
OG0010483	AFUB_077700-T-p1								
OG0010484	AFUB_077780-T-p1								
OG0010485	AFUB_077860-T-p1								
OG0010486	AFUB_077899-T-p1								
OG0010487	AFUB_078090-T-p1								
OG0010488	AFUB_078220-T-p1								
OG0010489	AFUB_078960-T-p1								
OG0010490	AFUB_079190-T-p1								
OG0010491	AFUB_079310-T-p1								
OG0010492	AFUB_079370-T-p1								
OG0010493	AFUB_079800-T-p1								
OG0010494	AFUB_079860-T-p1								
OG0010495	AFUB_079880-T-p1								
OG0010496	AFUB_079900-T-p1								
OG0010497	AFUB_080030-T-p1								
OG0010498	AFUB_080070-T-p1								
OG0010499	AFUB_080100-T-p1								
OG0010500	AFUB_080110-T-p1								
OG0010501	AFUB_080140-T-p1								
OG0010502	AFUB_080150-T-p1								
OG0010503	AFUB_080250-T-p1								
OG0010504	AFUB_080260-T-p1								
OG0010505	AFUB_080300-T-p1								
OG0010506	AFUB_080310-T-p1								
OG0010507	AFUB_080340-T-p1								
OG0010508	AFUB_080580-T-p1								
OG0010509	AFUB_080610-T-p1								
OG0010510	AFUB_080840-T-p1								
OG0010511	AFUB_080990-T-p1								
OG0010512	AFUB_081000-T-p1								
OG0010513	AFUB_081060-T-p1								
OG0010514	AFUB_081220-T-p1								
OG0010515	AFUB_081280-T-p1								
OG0010516	AFUB_081530-T-p1								
OG0010517	AFUB_083540-T-p1								
OG0010518	AFUB_084430-T-p1								
OG0010519	AFUB_084920-T-p1								
OG0010520	AFUB_085439-T-p1								
OG0010521	AFUB_085700-T-p1								
OG0010522	AFUB_086120-T-p1								
OG0010523	AFUB_086630-T-p1								
OG0010524	AFUB_086650-T-p1								
OG0010525	AFUB_087100-T-p1								
OG0010526	AFUB_087380-T-p1								
OG0010527	AFUB_087489-T-p1								
OG0010528	AFUB_087530-T-p1								
OG0010529	AFUB_088130-T-p1								
OG0010530	AFUB_090930-T-p1								
OG0010531	AFUB_091640-T-p1								
OG0010532	AFUB_091880-T-p1								
OG0010533	AFUB_091910-T-p1								
OG0010534	AFUB_092110-T-p1								
OG0010535	AFUB_092520-T-p1								
OG0010536	AFUB_092560-T-p1								
OG0010537	AFUB_092590-T-p1								
OG0010538	AFUB_093040-T-p1								
OG0010539	AFUB_095470-T-p1								
OG0010540	AFUB_096020-T-p1								
OG0010541	AFUB_096570-T-p1								
OG0010542	AFUB_096770-T-p1								
OG0010543	AFUB_096880-T-p1								
OG0010544	AFUB_097030-T-p1								
OG0010545	AFUB_097430-T-p1								
OG0010546	AFUB_097440-T-p1								
OG0010547	AFUB_097450-T-p1								
OG0010548	AFUB_097460-T-p1								
OG0010549	AFUB_097500-T-p1								
OG0010550	AFUB_097540-T-p1								
OG0010551	AFUB_097560-T-p1								
OG0010552	AFUB_097570-T-p1								
OG0010553	AFUB_097620-T-p1								
OG0010554	AFUB_097630-T-p1								
OG0010555	AFUB_097660-T-p1								
OG0010556	AFUB_097690-T-p1								
OG0010557	AFUB_097800-T-p1								
OG0010558	AFUB_097820-T-p1								
OG0010559	AFUB_097830-T-p1								
OG0010560	AFUB_097860-T-p1								
OG0010561	AFUB_098050-T-p1								
OG0010562	AFUB_098070-T-p1								
OG0010563	AFUB_098210-T-p1								
OG0010564	AFUB_098220-T-p1								
OG0010565	AFUB_099860-T-p1								
OG0010566	AFUB_099920-T-p1								
OG0010567	AFUB_100330-T-p1								
OG0010568	AFUB_100450-T-p1								
OG0010569	AFUB_100660-T-p1								
OG0010570	AFUB_100830-T-p1								
OG0010571	AFUB_100870-T-p1								
OG0010572	AFUB_101520-T-p1								
OG0010573	AFUB_102000-T-p1								
OG0010574	AFUB_102020-T-p1								
OG0010575	AFUB_102210-T-p1								
OG0010576	AFUB_102360-T-p1								
OG0010577	AFUB_102760-T-p1								
OG0010578	AFUB_102860-T-p1								
OG0010579	AFUB_102960-T-p1								
OG0010580		Afu1g00130-T-p1							
OG0010581		Afu1g00180-T-p1							
OG0010582		Afu1g00210-T-p1							
OG0010583		Afu1g00250-T-p1							
OG0010584		Afu1g00270-T-p1							
OG0010585		Afu1g00280-T-p1							
OG0010586		Afu1g00320-T-p1							
OG0010587		Afu1g00330-T-p1							
OG0010588		Afu1g00400-T-p1							
OG0010589		Afu1g00570-T-p1							
OG0010590		Afu1g00620-T-p1							
OG0010591		Afu1g00640-T-p1							
OG0010592		Afu1g00670-T-p1							
OG0010593		Afu1g00690-T-p1							
OG0010594		Afu1g00710-T-p1							
OG0010595		Afu1g00720-T-p1							
OG0010596		Afu1g00740-T-p1							
OG0010597		Afu1g00820-T-p1							
OG0010598		Afu1g00830-T-p1							
OG0010599		Afu1g00930-T-p1							
OG0010600		Afu1g00940-T-p1							
OG0010601		Afu1g10575-T-p1							
OG0010602		Afu1g10995-T-p1							
OG0010603		Afu1g14895-T-p1							
OG0010604		Afu1g16000-T-p1							
OG0010605		Afu1g16010-T-p1							
OG0010606		Afu1g16115-T-p1							
OG0010607		Afu1g16140-T-p1							
OG0010608		Afu1g16150-T-p1							
OG0010609		Afu1g17500-T-p1							
OG0010610		Afu1g17723-T-p1							
OG0010611		Afu2g04810-T-p1							
OG0010612		Afu2g07370-T-p1							
OG0010613		Afu2g08220-T-p1							
OG0010614		Afu2g09950-T-p1							
OG0010615		Afu2g11200-T-p1							
OG0010616		Afu2g13920-T-p1							
OG0010617		Afu2g14525-T-p1							
OG0010618		Afu2g14655-T-p1							
OG0010619		Afu2g14661-T-p1							
OG0010620		Afu2g17515-T-p1							
OG0010621		Afu3g00860-T-p1							
OG0010622		Afu3g01060-T-p1							
OG0010623		Afu3g01345-T-p1							
OG0010624		Afu3g01390-T-p1							
OG0010625		Afu3g01550-T-p1							
OG0010626		Afu3g01590-T-p1							
OG0010627		Afu3g02585-T-p1							
OG0010628		Afu3g03340-T-p1							
OG0010629		Afu3g03515-T-p1							
OG0010630		Afu3g03690-T-p1							
OG0010631		Afu3g03695-T-p1							
OG0010632		Afu3g03760-T-p1							
OG0010633		Afu3g04100-T-p1							
OG0010634		Afu3g04270-T-p1							
OG0010635		Afu3g06160-T-p1							
OG0010636		Afu3g06597-T-p1							
OG0010637		Afu3g08570-T-p1							
OG0010638		Afu3g09490-T-p1							
OG0010639		Afu3g11240-T-p1							
OG0010640		Afu3g13755-T-p1							
OG0010641		Afu4g00810-T-p1							
OG0010642		Afu4g00850-T-p1							
OG0010643		Afu4g01285-T-p1							
OG0010644		Afu4g08160-T-p1							
OG0010645		Afu4g08220-T-p1							
OG0010646		Afu4g13110-T-p1							
OG0010647		Afu4g13625-T-p1							
OG0010648		Afu4g14100-T-p1							
OG0010649		Afu4g14175-T-p1							
OG0010650		Afu5g00160-T-p1							
OG0010651		Afu5g00170-T-p1							
OG0010652		Afu5g00180-T-p1							
OG0010653		Afu5g00190-T-p1							
OG0010654		Afu5g00200-T-p1							
OG0010655		Afu5g00210-T-p1							
OG0010656		Afu5g00220-T-p1							
OG0010657		Afu5g00230-T-p1							
OG0010658		Afu5g00240-T-p1							
OG0010659		Afu5g00250-T-p1							
OG0010660		Afu5g00970-T-p1							
OG0010661		Afu5g01930-T-p1							
OG0010662		Afu5g11680-T-p1							
OG0010663		Afu5g13700-T-p1							
OG0010664		Afu5g14860-T-p1							
OG0010665		Afu5g15090-T-p1							
OG0010666		Afu5g15130-T-p1							
OG0010667		Afu5g15140-T-p1							
OG0010668		Afu6g03025-T-p1							
OG0010669		Afu6g03375-T-p1							
OG0010670		Afu6g03420-T-p1							
OG0010671		Afu6g03685-T-p1							
OG0010672		Afu6g04495-T-p1							
OG0010673		Afu6g04645-T-p1							
OG0010674		Afu6g11745-T-p1							
OG0010675		Afu6g11760-T-p1							
OG0010676		Afu6g11900-T-p1							
OG0010677		Afu6g14630-T-p1							
OG0010678		Afu6g14700-T-p1							
OG0010679		Afu7g00805-T-p1							
OG0010680		Afu7g00900-T-p1							
OG0010681		Afu7g01800-T-p1							
OG0010682		Afu7g02410-T-p1							
OG0010683		Afu7g04735-T-p1							
OG0010684		Afu7g05350-T-p1							
OG0010685		Afu7g06330-T-p1							
OG0010686		Afu7g06970-T-p1							
OG0010687		Afu7g07020-T-p1							
OG0010688		Afu7g07040-T-p1							
OG0010689		Afu7g07110-T-p1							
OG0010690		Afu7g07130-T-p1							
OG0010691		Afu7g07140-T-p1							
OG0010692		Afu7g08235-T-p1							
OG0010693		Afu7g08237-T-p1							
OG0010694		Afu7g08260-T-p1							
OG0010695		Afu7g08270-T-p1							
OG0010696		Afu7g08280-T-p1							
OG0010697		Afu7g08320-T-p1							
OG0010698		Afu7g08340-T-p1							
OG0010699		Afu7g08360-T-p1							
OG0010700		Afu7g08380-T-p1							
OG0010701		Afu7g08390-T-p1							
OG0010702		Afu7g08400-T-p1							
OG0010703		Afu7g08410-T-p1							
OG0010704		Afu7g08420-T-p1							
OG0010705		Afu7g08450-T-p1							
OG0010706		Afu7g08620-T-p1							
OG0010707		Afu8g00100-T-p1							
OG0010708		Afu8g01045-T-p1							
OG0010709		Afu8g01170-T-p1							
OG0010710		Afu8g01200-T-p1							
OG0010711		Afu8g01650-T-p1							
OG0010712		Afu8g05985-T-p1							
OG0010713		Afu8g06165-T-p1							
OG0010714		Afu8g06190-T-p1							
OG0010715		Afu8g06335-T-p1							
OG0010716		Afu8g06790-T-p1							
OG0010717		Afu8g06974-T-p1							
OG0010718		Afu8g07010-T-p1							
OG0010719			CNAG_00001-t26_1-p1						
OG0010720			CNAG_00002-t26_1-p1						
OG0010721			CNAG_00003-t26_1-p1						
OG0010722			CNAG_00013-t26_1-p1						
OG0010723			CNAG_00013-t26_2-p1						
OG0010724			CNAG_00013-t26_3-p1						
OG0010725			CNAG_00015-t26_1-p1						
OG0010726			CNAG_00017-t26_1-p1						
OG0010727			CNAG_00024-t26_1-p1						
OG0010728			CNAG_00024-t26_2-p1						
OG0010729			CNAG_00024-t26_3-p1						
OG0010730			CNAG_00032-t26_1-p1						
OG0010731			CNAG_00033-t26_1-p1						
OG0010732			CNAG_00043-t26_1-p1						
OG0010733			CNAG_00043-t26_2-p1						
OG0010734			CNAG_00049-t26_1-p1						
OG0010735			CNAG_00050-t26_1-p1						
OG0010736			CNAG_00053-t26_1-p1						
OG0010737			CNAG_00055-t26_1-p1						
OG0010738			CNAG_00059-t26_1-p1						
OG0010739			CNAG_00069-t26_1-p1						
OG0010740			CNAG_00070-t26_1-p1						
OG0010741			CNAG_00079-t26_1-p1						
OG0010742			CNAG_00080-t26_1-p1						
OG0010743			CNAG_00091-t26_1-p1						
OG0010744			CNAG_00096-t26_1-p1						
OG0010745			CNAG_00105-t26_1-p1						
OG0010746			CNAG_00106-t26_1-p1						
OG0010747			CNAG_00118-t26_1-p1						
OG0010748			CNAG_00119-t26_1-p1						
OG0010749			CNAG_00124-t26_1-p1						
OG0010750			CNAG_00127-t26_1-p1						
OG0010751			CNAG_00128-t26_1-p1						
OG0010752			CNAG_00132-t26_1-p1						
OG0010753			CNAG_00132-t26_2-p1						
OG0010754			CNAG_00134-t26_1-p1						
OG0010755			CNAG_00152-t26_1-p1						
OG0010756			CNAG_00153-t26_1-p1						
OG0010757			CNAG_00153-t26_2-p1						
OG0010758			CNAG_00155-t26_1-p1						
OG0010759			CNAG_00159-t26_1-p1						
OG0010760			CNAG_00160-t26_1-p1						
OG0010761			CNAG_00173-t26_1-p1						
OG0010762			CNAG_00175-t26_1-p1						
OG0010763			CNAG_00229-t26_1-p1						
OG0010764			CNAG_00242-t26_1-p1						
OG0010765			CNAG_00243-t26_1-p1						
OG0010766			CNAG_00246-t26_1-p1						
